,City,Population,Users
0,NEW YORK NY,8405837 ,302149 
1,CHICAGO IL,1955130 ,164468 
2,LOS ANGELES CA,1595037 ,144132 
3,MIAMI FL,1339155 ,17675 
4,SILICON VALLEY,1177609 ,27247 
5,ORANGE COUNTY,1030185 ,12994 
6,SAN DIEGO CA,959307 ,69995 
7,PHOENIX AZ,943999 ,6133 
8,DALLAS TX,942908 ,22157 
9,ATLANTA GA,814885 ,24701 
10,DENVER CO,754233 ,12421 
11,AUSTIN TX,698371 ,14978 
12,SEATTLE WA,671238 ,25063 
13,TUCSON AZ,631442 ,5712 
14,SAN FRANCISCO CA,629591 ,213609 
15,SACRAMENTO CA,545776 ,7044 
16,PITTSBURGH PA,542085 ,3643 
17,WASHINGTON DC,418859 ,127001 
18,NASHVILLE TN,327225 ,9270 
19,BOSTON MA,248968 ,80021 
